iter	RMSE
0	5690709.862
1	5417455.797
2	5151143.887
3	4916215.923
4	4703292.134
5	4494211.819
6	4300575.017
7	4122924.301
8	3958380.899
9	3809511.053
10	3667154.898
11	3539191.313
12	3420334.596
13	3308998.253
14	3210665.965
15	3123923.345
16	3038172.345
17	2957419.599
18	2886852.835
19	2820878.613
20	2757834.438
21	2702232.275
22	2650328.495
23	2599496.378
24	2554885.596
25	2511737.754
26	2472918.468
27	2438200.187
28	2404674.357
29	2372977.865
30	2342862.936
31	2316146.176
32	2292119.604
33	2270383.233
34	2249329.853
35	2228940.786
36	2212249.237
37	2194955.565
38	2180712.274
39	2164070.841
40	2150640.065
41	2137962.315
42	2123813.034
43	2110757.387
44	2099336.075
45	2088941.689
46	2079525.678
47	2070070.666
48	2061568.439
49	2054625.859
50	2046664.018
51	2037791.803
52	2030117.671
53	2024032.377
54	2014549.792
55	2008573.695
56	2000986.063
57	1996524.623
58	1989609.8
59	1985088.757
60	1976831.413
61	1972979.552
62	1967982.46
63	1962581.164
64	1956477.125
65	1948329.877
66	1943033.429
67	1939196.298
68	1936350.62
69	1929243.19
70	1926053.609
71	1921085.541
72	1917403.884
73	1914570.927
74	1909515.053
75	1905098.284
76	1899935.547
77	1897414.117
78	1893342.761
79	1890032.65
80	1885542.986
81	1879588.205
82	1876246.12
83	1872114.253
84	1866542.117
85	1864623.147
86	1860337.216
87	1855365.923
88	1850821.003
89	1846731.95
90	1842444.563
91	1840178.261
92	1836124.033
93	1834945.572
94	1832100.547
95	1828778.337
96	1827394.092
97	1822882.193
98	1821426.587
99	1817654.18
100	1815277.166
101	1812537.109
102	1808609.096
103	1805570.526
104	1802718.833
105	1799505.937
106	1797102.627
107	1795033.884
108	1792505.128
109	1790291.576
110	1786489.271
111	1781462.292
112	1779698.678
113	1776596.451
114	1773754.131
115	1772132.775
116	1769613.093
117	1767566.833
118	1765109.645
119	1763243.317
120	1760869.514
121	1759665.233
122	1757481.591
123	1755664.943
124	1753063.405
125	1750493.547
126	1747745.461
127	1746668.596
128	1745339.834
129	1744082.871
130	1741478.31
131	1738880.719
132	1736317.324
133	1734019.446
134	1731339.455
135	1728497.858
136	1727645.958
137	1724949.499
138	1722178.402
139	1718648.87
140	1715736.066
141	1713902.926
142	1713094.301
143	1711123.379
144	1708938.533
145	1705360.773
146	1703845.328
147	1702880.417
148	1699797.136
149	1697758.987
150	1697127.694
151	1694657.097
152	1692899.846
153	1691327.834
154	1689536.075
155	1687241.174
156	1684653.754
157	1682504.787
158	1679125.388
159	1677772.253
160	1675096.223
161	1673161.812
162	1672335.391
163	1670216.102
164	1667951.332
165	1665137.67
166	1663842.435
167	1663054.693
168	1662189.259
169	1661685.577
170	1659258.693
171	1657102.098
172	1655121.856
173	1652704.336
174	1649957.968
175	1649241.353
176	1647195.037
177	1646389.169
178	1644329.493
179	1643642.369
180	1641995.569
181	1640729.942
182	1640061.931
183	1639426.295
184	1638796.464
185	1636436.212
186	1634096.454
187	1632391.858
188	1629980.056
189	1627219.748
190	1624927.192
191	1624350.588
192	1621897.128
193	1619481.515
194	1618940.338
195	1616726.482
196	1616205.226
197	1615047.565
198	1614236.59
199	1613760.89
200	1611858.539
201	1609663.992
202	1606980.692
203	1605997.498
204	1604487.142
205	1603175.021
206	1602713.053
207	1602269.822
208	1601109.08
209	1599185.958
210	1597968.789
211	1595744.604
212	1594920.135
213	1593905.242
214	1591936.198
215	1590390.857
216	1589976.054
217	1587661.757
218	1585597.419
219	1584357.981
220	1583002.881
221	1582600.711
222	1580342.08
223	1578697.605
224	1577030.676
225	1575772.43
226	1573595.052
227	1572355.075
228	1570847.984
229	1569201.511
230	1567127.55
231	1565367.135
232	1564245.639
233	1562483.567
234	1561056.49
235	1560164.07
236	1558909.106
237	1557528.449
238	1556442.13
239	1554914.696
240	1553534.79
241	1551579.664
242	1551265.101
243	1550962.005
244	1550147.927
245	1549196.215
246	1547402.081
247	1545789.003
248	1545028.967
249	1543726.932
250	1543166.699
251	1541683.807
252	1541032.328
253	1538995.412
254	1537267.441
255	1536628.753
256	1535425.659
257	1534745.064
258	1533017.225
259	1531341.297
260	1530844.86
261	1530596.274
262	1529099.771
263	1527777.125
264	1526546.689
265	1524784.131
266	1522713.396
267	1521006.529
268	1519844.761
269	1519022.354
270	1517328.205
271	1517096.515
272	1515696.792
273	1514244.847
274	1512681.395
275	1511362.289
276	1509830.171
277	1508653.379
278	1507940.387
279	1506729.461
280	1506182.118
281	1505237.354
282	1503678.971
283	1502797.76
284	1502593.23
285	1501358.287
286	1500518.166
287	1499924.944
288	1499173.481
289	1497408.743
290	1496374.901
291	1494906.198
292	1494310.882
293	1493046.153
294	1491914.471
295	1491084.177
296	1490903.598
297	1489674.522
298	1489109.502
299	1488297.113
300	1486907.875
301	1486219.958
302	1485538.263
303	1484375.164
304	1483657.171
305	1483164.671
306	1481294.263
307	1480429.357
308	1479263.53
309	1478974.279
310	1478254.472
311	1477606.453
312	1476612.194
313	1475816.086
314	1474377.156
315	1473037.877
316	1472000.909
317	1470856.229
318	1470180.506
319	1468908.39
320	1468115.831
321	1466929.223
322	1466453.881
323	1465809.442
324	1465226.843
325	1464588.729
326	1463865.228
327	1462711.127
328	1461629.476
329	1461434.744
330	1460585.615
331	1459339.527
332	1457819.85
333	1456566.408
334	1455382.324
335	1454775.741
336	1453761.637
337	1452649.66
338	1451988.511
339	1451340.825
340	1450609.533
341	1449252.973
342	1449126.429
343	1448433.931
344	1447660.29
345	1447345.663
346	1447002.203
347	1445290.696
348	1444712.088
349	1443739.097
350	1443376.026
351	1442648.891
352	1441147.067
353	1439622.982
354	1438686.599
355	1438297.041
356	1437772.067
357	1436411.454
358	1435384.701
359	1434292.718
360	1433548.056
361	1432397.614
362	1431823.674
363	1431314.172
364	1430373.152
365	1429131.911
366	1428258.399
367	1427116.726
368	1426417.801
369	1425411.711
370	1424525.39
371	1423450.587
372	1422766.172
373	1422191.561
374	1421667.33
375	1420528.624
376	1419193.91
377	1418570.695
378	1418211.78
379	1417493.824
380	1416720.113
381	1415873.199
382	1415310.263
383	1414651.498
384	1413724.196
385	1412383.803
386	1411866.446
387	1410523.729
388	1409966.556
