iter	Passed	Remaining
0	5	5134
1	10	5082
2	14	4868
3	18	4711
4	28	5635
5	34	5781
6	38	5470
7	43	5344
8	47	5224
9	51	5061
10	54	4935
11	59	4875
12	64	4886
13	68	4856
14	73	4820
15	77	4770
16	81	4686
17	85	4665
18	90	4666
19	94	4620
20	97	4558
21	101	4496
22	104	4440
23	109	4444
24	113	4443
25	117	4403
26	121	4395
27	126	4384
28	130	4360
29	133	4317
30	136	4279
31	141	4277
32	144	4233
33	147	4190
34	150	4159
35	154	4139
36	158	4120
37	162	4111
38	166	4096
39	170	4082
40	174	4075
41	177	4052
42	182	4060
43	187	4068
44	191	4071
45	195	4062
46	200	4070
47	205	4080
48	212	4120
49	216	4119
50	223	4151
51	228	4157
52	231	4143
53	237	4157
54	241	4150
55	245	4131
56	248	4117
57	255	4156
58	262	4182
59	272	4276
60	279	4304
61	285	4313
62	291	4334
63	296	4333
64	302	4344
65	308	4364
66	312	4348
67	319	4381
68	323	4370
69	328	4359
70	331	4341
71	338	4360
72	343	4366
73	347	4347
74	351	4335
75	355	4318
76	358	4291
77	360	4264
78	363	4243
79	367	4230
80	371	4210
81	375	4199
82	378	4177
83	383	4183
84	386	4165
85	390	4150
86	394	4144
87	399	4138
88	403	4133
89	407	4122
90	412	4116
91	417	4124
92	422	4118
93	426	4112
94	433	4129
95	438	4125
96	442	4120
97	447	4121
98	451	4108
99	455	4095
100	458	4083
101	463	4083
102	468	4080
103	474	4089
104	480	4094
105	485	4091
106	489	4086
107	494	4081
108	499	4080
109	506	4094
110	513	4116
111	519	4116
112	524	4118
113	534	4156
114	541	4170
115	548	4179
116	553	4173
117	556	4163
118	563	4168
119	567	4162
120	572	4162
121	579	4169
122	582	4155
123	587	4147
124	591	4139
125	595	4131
126	600	4128
127	604	4115
128	607	4104
129	612	4099
130	616	4087
131	619	4074
132	623	4061
133	627	4057
134	631	4044
135	634	4029
136	637	4016
137	642	4014
138	645	4000
139	650	3993
140	653	3981
141	656	3965
142	660	3957
143	664	3948
144	668	3943
145	673	3940
146	678	3939
147	683	3932
148	688	3929
149	693	3929
150	697	3921
151	701	3916
152	707	3917
153	711	3909
154	717	3909
155	721	3905
156	727	3905
157	731	3899
158	736	3895
159	741	3894
160	747	3894
161	751	3887
162	756	3882
163	760	3877
164	766	3877
165	770	3873
166	776	3872
167	780	3867
168	786	3866
169	791	3865
170	795	3856
171	799	3848
172	805	3848
173	808	3839
174	812	3831
175	816	3823
176	822	3823
177	827	3821
178	832	3816
179	837	3813
180	842	3813
181	846	3804
182	849	3793
183	854	3788
184	857	3777
185	861	3768
186	864	3760
187	869	3757
188	873	3747
189	876	3737
190	880	3728
191	884	3720
192	888	3715
193	893	3710
194	897	3704
195	902	3702
196	906	3695
197	910	3686
198	913	3676
199	917	3670
200	921	3664
201	925	3654
202	928	3647
203	934	3644
204	939	3642
205	945	3642
206	950	3640
207	954	3633
208	958	3627
209	961	3618
210	971	3632
211	974	3622
212	977	3613
213	982	3607
214	988	3608
215	993	3604
216	997	3598
217	1004	3602
218	1009	3598
219	1013	3592
220	1020	3597
221	1025	3593
222	1031	3593
223	1035	3587
224	1039	3581
225	1043	3573
226	1049	3574
227	1055	3572
228	1060	3570
229	1067	3573
230	1071	3567
231	1075	3559
232	1080	3557
233	1084	3551
234	1089	3546
235	1094	3541
236	1100	3543
237	1104	3536
238	1108	3529
239	1112	3523
240	1118	3521
241	1122	3517
242	1127	3511
243	1134	3514
244	1139	3511
245	1143	3504
246	1148	3500
247	1152	3495
248	1157	3490
249	1163	3490
250	1167	3484
251	1170	3474
252	1173	3465
253	1177	3457
254	1181	3453
255	1186	3448
256	1190	3442
257	1197	3442
258	1201	3436
259	1204	3428
260	1207	3420
261	1212	3414
262	1216	3407
263	1219	3399
264	1222	3391
265	1227	3387
266	1233	3385
267	1237	3380
268	1242	3375
269	1247	3371
270	1251	3366
271	1254	3358
272	1259	3353
273	1264	3350
274	1268	3344
275	1275	3346
276	1280	3342
277	1284	3336
278	1289	3332
279	1294	3329
280	1298	3322
281	1302	3316
282	1307	3311
283	1312	3308
284	1317	3305
285	1323	3304
286	1328	3301
287	1333	3297
288	1338	3293
289	1343	3290
290	1348	3285
291	1352	3279
292	1357	3275
293	1361	3269
294	1366	3264
295	1370	3260
296	1376	3257
297	1381	3253
298	1385	3248
299	1391	3247
300	1396	3242
301	1400	3237
302	1405	3233
303	1409	3227
304	1414	3222
305	1418	3216
306	1423	3213
307	1427	3206
308	1430	3198
309	1433	3190
310	1438	3185
311	1442	3180
312	1446	3174
313	1449	3167
314	1453	3161
315	1458	3156
316	1462	3150
317	1465	3143
318	1468	3135
319	1473	3130
320	1476	3123
321	1479	3115
322	1483	3108
323	1489	3107
324	1492	3100
325	1497	3095
326	1500	3088
327	1506	3085
328	1510	3080
329	1514	3074
330	1518	3070
331	1523	3064
332	1527	3060
333	1531	3053
334	1536	3049
335	1539	3042
336	1542	3035
337	1546	3028
338	1550	3022
339	1554	3017
340	1557	3010
341	1561	3003
342	1565	2998
343	1571	2996
344	1575	2991
345	1579	2985
346	1584	2982
347	1588	2976
348	1592	2970
349	1595	2963
350	1600	2959
351	1604	2952
352	1607	2945
353	1610	2938
354	1613	2931
355	1618	2927
356	1622	2921
357	1625	2915
358	1629	2909
359	1634	2905
360	1638	2900
361	1643	2896
362	1647	2891
363	1652	2886
364	1655	2879
365	1658	2872
366	1661	2866
367	1666	2862
368	1670	2856
369	1674	2851
370	1678	2845
371	1684	2842
372	1688	2837
373	1692	2832
374	1696	2828
375	1703	2826
376	1709	2825
377	1716	2824
378	1722	2822
379	1727	2817
380	1733	2815
381	1737	2810
382	1741	2805
383	1746	2802
384	1752	2799
385	1757	2796
386	1764	2795
387	1770	2792
388	1774	2787
389	1780	2785
390	1785	2780
391	1790	2776
392	1796	2774
393	1802	2772
394	1809	2771
395	1815	2768
396	1820	2765
397	1824	2760
398	1830	2757
399	1835	2753
400	1840	2748
401	1845	2745
402	1850	2740
403	1854	2736
404	1859	2732
405	1865	2728
406	1870	2724
407	1874	2720
408	1880	2716
409	1883	2710
410	1888	2705
411	1892	2700
412	1898	2698
413	1903	2694
414	1908	2690
415	1912	2685
416	1917	2680
417	1920	2674
418	1923	2667
419	1927	2661
420	1929	2654
421	1932	2647
422	1936	2641
423	1940	2636
424	1945	2632
425	1949	2626
426	1953	2621
427	1958	2616
428	1963	2613
429	1968	2609
430	1975	2607
431	1981	2605
432	1989	2605
433	1994	2601
434	1999	2596
435	2003	2591
436	2009	2588
437	2013	2583
438	2017	2578
439	2022	2574
440	2026	2569
441	2031	2564
442	2036	2560
443	2043	2559
444	2047	2553
445	2051	2548
446	2056	2544
447	2060	2538
448	2063	2532
449	2068	2528
450	2074	2525
451	2078	2519
452	2082	2514
453	2086	2509
454	2092	2505
455	2096	2501
456	2102	2497
457	2110	2497
458	2114	2491
459	2117	2485
460	2122	2481
461	2125	2475
462	2128	2468
463	2131	2462
464	2135	2457
465	2139	2451
466	2142	2445
467	2145	2439
468	2149	2433
469	2153	2428
470	2158	2423
471	2161	2418
472	2165	2412
473	2170	2408
474	2174	2402
475	2177	2396
476	2180	2390
477	2184	2385
478	2188	2380
479	2192	2374
480	2195	2368
481	2199	2363
482	2203	2359
483	2208	2354
484	2212	2348
485	2217	2344
486	2221	2339
487	2226	2335
488	2229	2330
489	2236	2327
490	2240	2322
491	2243	2316
492	2249	2313
493	2254	2308
494	2259	2305
495	2267	2304
496	2273	2300
497	2278	2297
498	2284	2293
499	2289	2289
500	2295	2286
501	2301	2282
502	2306	2278
503	2310	2273
504	2316	2270
505	2319	2264
506	2324	2260
507	2328	2254
508	2333	2250
509	2337	2245
510	2341	2240
511	2345	2235
512	2350	2231
513	2356	2227
514	2360	2222
515	2367	2221
516	2372	2216
517	2376	2211
518	2381	2206
519	2387	2204
520	2391	2198
521	2397	2195
522	2402	2190
523	2406	2186
524	2410	2180
525	2415	2176
526	2419	2171
527	2423	2166
528	2426	2160
529	2430	2155
530	2434	2150
531	2437	2144
532	2441	2138
533	2446	2134
534	2450	2129
535	2453	2124
536	2457	2118
537	2462	2115
538	2466	2109
539	2470	2104
540	2473	2098
541	2478	2094
542	2483	2090
543	2487	2085
544	2492	2080
545	2497	2076
546	2501	2071
547	2505	2066
548	2510	2062
549	2514	2057
550	2517	2051
551	2521	2046
552	2527	2042
553	2531	2037
554	2535	2032
555	2540	2028
556	2545	2024
557	2552	2021
558	2556	2017
559	2562	2013
560	2566	2008
561	2571	2003
562	2576	2000
563	2580	1994
564	2584	1989
565	2590	1986
566	2598	1984
567	2605	1981
568	2612	1978
569	2616	1973
570	2620	1968
571	2627	1965
572	2631	1961
573	2636	1956
574	2642	1953
575	2649	1950
576	2656	1947
577	2661	1942
578	2664	1937
579	2667	1931
580	2671	1926
581	2676	1922
582	2679	1916
583	2683	1911
584	2689	1907
585	2693	1902
586	2697	1897
587	2700	1892
588	2704	1887
589	2708	1882
590	2712	1877
591	2716	1872
592	2720	1866
593	2724	1862
594	2727	1856
595	2731	1851
596	2734	1846
597	2739	1841
598	2742	1836
599	2747	1831
600	2754	1828
601	2759	1824
602	2763	1819
603	2767	1814
604	2774	1811
605	2779	1807
606	2784	1802
607	2789	1798
608	2795	1794
609	2799	1789
610	2805	1785
611	2810	1781
612	2814	1776
613	2819	1772
614	2824	1768
615	2828	1763
616	2833	1758
617	2840	1755
618	2846	1751
619	2852	1748
620	2857	1743
621	2862	1739
622	2865	1734
623	2871	1730
624	2875	1725
625	2879	1720
626	2885	1716
627	2889	1711
628	2893	1706
629	2897	1701
630	2902	1697
631	2907	1692
632	2911	1688
633	2915	1683
634	2919	1678
635	2923	1673
636	2926	1667
637	2930	1662
638	2934	1657
639	2937	1652
640	2941	1647
641	2945	1642
642	2951	1638
643	2955	1633
644	2959	1628
645	2962	1623
646	2966	1618
647	2971	1614
648	2976	1609
649	2979	1604
650	2984	1600
651	2989	1595
652	2993	1590
653	2998	1586
654	3002	1581
655	3007	1577
656	3011	1572
657	3015	1567
658	3019	1562
659	3023	1557
660	3027	1552
661	3031	1547
662	3036	1543
663	3041	1538
664	3047	1534
665	3051	1530
666	3055	1525
667	3058	1519
668	3061	1514
669	3065	1509
670	3068	1504
671	3071	1499
672	3075	1494
673	3079	1489
674	3083	1484
675	3086	1479
676	3089	1474
677	3093	1468
678	3098	1464
679	3102	1459
680	3106	1455
681	3112	1451
682	3116	1446
683	3119	1441
684	3123	1436
685	3128	1432
686	3132	1427
687	3136	1422
688	3139	1417
689	3145	1413
690	3150	1408
691	3155	1404
692	3160	1400
693	3165	1395
694	3170	1391
695	3178	1388
696	3186	1385
697	3194	1382
698	3200	1378
699	3208	1374
700	3215	1371
701	3220	1367
702	3225	1362
703	3230	1358
704	3234	1353
705	3240	1349
706	3246	1345
707	3253	1341
708	3258	1337
709	3263	1333
710	3268	1328
711	3273	1324
712	3279	1319
713	3282	1315
714	3286	1309
715	3291	1305
716	3297	1301
717	3301	1296
718	3308	1293
719	3312	1288
720	3315	1283
721	3319	1278
722	3323	1273
723	3327	1268
724	3330	1263
725	3334	1258
726	3338	1253
727	3341	1248
728	3344	1243
729	3348	1238
730	3350	1233
731	3354	1228
732	3358	1223
733	3362	1218
734	3366	1213
735	3370	1209
736	3374	1204
737	3378	1199
738	3381	1194
739	3384	1189
740	3388	1184
741	3392	1179
742	3395	1174
743	3399	1169
744	3403	1165
745	3407	1160
746	3410	1155
747	3413	1150
