,location,loc_province,loc_pulau,education_level_max
0,BANDUNG,5281078.357615894,7326619.856529598,6802415.919704551
1,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
2,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
3,CIREBON,6147304.742647059,7326619.856529598,11466979.966611018
4,BEKASI,6147304.742647059,7326619.856529598,6802415.919704551
5,BALIKPAPAN,6816468.518518519,6000208.808290156,6802415.919704551
6,TANGERANG,6509462.142857143,6509462.142857143,3788580.486935867
7,TANGERANG,6509462.142857143,6509462.142857143,6802415.919704551
8,BEKASI,6147304.742647059,7326619.856529598,6802415.919704551
9,BANTEN,6509462.142857143,6509462.142857143,6802415.919704551
10,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
11,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
12,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
13,BALI,7955276.255506608,7955276.255506608,6802415.919704551
14,DKI JAKARTA,8227419.464774282,7326619.856529598,3788580.486935867
15,TANGERANG,6509462.142857143,6509462.142857143,6802415.919704551
16,CIKARANG,6509462.142857143,6509462.142857143,6974653.64877161
17,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
18,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
19,PONTIANAK,5424233.766233766,6000208.808290156,6802415.919704551
20,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
21,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
22,SURABAYA,5281078.357615894,7326619.856529598,6802415.919704551
23,MEDAN,7616092.593582888,7206423.31372549,6802415.919704551
24,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
25,CILEGON,6509462.142857143,6509462.142857143,6802415.919704551
26,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
27,MANADO,7158977.222222222,5901028.0,6802415.919704551
28,PAPUA,5283114.827586207,5283114.827586207,6974653.64877161
29,CIKARANG,6509462.142857143,6509462.142857143,6802415.919704551
30,MAKASSAR,5091700.533333333,5901028.0,6802415.919704551
31,TANGERANG,6509462.142857143,6509462.142857143,6802415.919704551
32,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
33,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
34,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
35,BANTEN,6509462.142857143,6509462.142857143,6802415.919704551
36,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
37,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
38,MALUKU UTARA,4448181.818181818,4448181.818181818,6974653.64877161
